segment,manufacturer_part_number
MOSFET,2N7002K-T1-GE3
MOSFET,SI2347DS-T1-GE3
MOSFET,SI2301CDS-T1-GE3
MOSFET,SQ1470AEH-T1_GE3
MOSFET,SI4114DY-T1-GE3
MOSFET,SI1062X-T1-GE3
MOSFET,SQ2337ES-T1_BE3
MOSFET,SI2319DDS-T1-GE3
MOSFET,SIA413DJ-T1-GE3
MOSFET,SI2302CDS-T1-GE3
MOSFET,SI2305CDS-T1-GE3
MOSFET,SIR622DP-T1-RE3
MOSFET,SI2307CDS-T1-GE3
MOSFET,SI3456DDV-T1-GE3
MOSFET,SIUD412ED-T1-GE3
MOSFET,SI2309CDS-T1-GE3
MOSFET,SUD19P06-60-GE3
MOSFET,SQ2398ES-T1_GE3
MOSFET,SQ2389ES-T1_BE3
MOSFET,SI1416EDH-T1-GE3
MOSFET,SI2329DS-T1-GE3
MOSFET,SI7619DN-T1-GE3
MOSFET,SI2374DS-T1-GE3
MOSFET,SIA483DJ-T1-GE3
MOSFET,SI3424CDV-T1-GE3
MOSFET,SI2301CDS-T1-E3
MOSFET,SI1317DL-T1-GE3
MOSFET,SI1442DH-T1-GE3
MOSFET,SI7155DP-T1-GE3
MOSFET,SI7415DN-T1-E3
MOSFET,SI3483CDV-T1-GE3
MOSFET,SI4435FDY-T1-GE3
MOSFET,SI7149ADP-T1-GE3
MOSFET,SI7617DN-T1-GE3
MOSFET,SI2343CDS-T1-GE3
MOSFET,SI2367DS-T1-GE3
MOSFET,SQ2361CES-T1_GE3
MOSFET,SIS890ADN-T1-GE3
MOSFET,SISS98DN-T1-GE3
MOSFET,SUM70101EL-GE3
MOSFET,SQ1440EH-T1_GE3
MOSFET,SIS427EDN-T1-GE3
MOSFET,SI4403DDY-T1-GE3
MOSFET,SI2314EDS-T1-E3
MOSFET,SI7114DN-T1-E3
MOSFET,SQ3427AEEV-T1_GE3
MOSFET,SI2300DS-T1-GE3
MOSFET,SQS460EN-T1_BE3
MOSFET,SI4435DDY-T1-GE3
MOSFET,SI2325DS-T1-E3
MOSFET,SI4401DDY-T1-GE3
MOSFET,SIS412DN-T1-GE3
MOSFET,SIB456DK-T1-GE3
MOSFET,SISA88DN-T1-GE3
MOSFET,SIR426DP-T1-GE3
MOSFET,SIA449DJ-T1-GE3
MOSFET,IRFL9014TRPBF
MOSFET,SI7101DN-T1-GE3
MOSFET,SI7469DP-T1-E3
MOSFET,SUD09P10-195-GE3
MOSFET,SI7454FDP-T1-RE3
MOSFET,SIA421DJ-T1-GE3
MOSFET,SIS488DN-T1-GE3
MOSFET,IRFZ14PBF
MOSFET,SISA40DN-T1-GE3
MOSFET,SIR5607DP-T1-RE3
MOSFET,SI7812DN-T1-GE3
MOSFET,SI2333CDS-T1-E3
MOSFET,SQ1464EEH-T1_GE3
MOSFET,SI2369BDS-T1-GE3
MOSFET,SI8816EDB-T2-E1
MOSFET,SIR870ADP-T1-GE3
MOSFET,SI1013CX-T1-GE3
MOSFET,SI1443EDH-T1-GE3
MOSFET,SQ2348CES-T1_GE3
MOSFET,SI7613DN-T1-GE3
MOSFET,SI7611DN-T1-GE3
MOSFET,SI7615CDN-T1-GE3
MOSFET,SQJ409EP-T2_GE3
MOSFET,SISH615ADN-T1-GE3
MOSFET,SIS890DN-T1-GE3
MOSFET,SISS22LDN-T1-GE3
MOSFET,SI8823EDB-T2-E1
MOSFET,SQJQ402E-T1_GE3
MOSFET,SIS862ADN-T1-GE3
MOSFET,SQS181ELNW-T1_GE3
MOSFET,SIR826LDP-T1-RE3
MOSFET,SIR680LDP-T1-RE3
MOSFET,SI7141DP-T1-GE3
MOSFET,SI4186DY-T1-GE3
MOSFET,SIR186LDP-T1-RE3
MOSFET,SI7119DN-T1-E3
MOSFET,SI4143DY-T1-GE3
MOSFET,SISS10ADN-T1-GE3
MOSFET,SQ2309CES-T1_GE3
MOSFET,SUD50P10-43L-E3
MOSFET,SI2325DS-T1-GE3
MOSFET,SI2306BDS-T1-E3
MOSFET,SIA441DJ-T1-GE3
MOSFET,SUD50P06-15-GE3
Diode,LL4148-GS08
Diode,S1G-E3/61T
Diode,MSS1P3L-M3/89A
Diode,1N4005-E3/54
Diode,1N4148TR
Diode,VSSA310SHM3_A/H
Diode,MMBD914-E3-08
Diode,BY448GP-E3/54
Diode,S1M-E3/61T
Diode,S3M-E3/57T
Diode,BAS70-02V-G3-08
Diode,LL4148-GS18
Diode,SS3P6HM3/85A
Diode,ES07D-GS18
Diode,LS4148-GS08
Diode,BYG23M-E3/TR
Diode,S07M-GS08
Diode,ES07B-GS18
Diode,MSS2P3-M3/89A
Diode,SD103AWS-E3-08
Diode,VSKY05201006-G4-08
Diode,GP02-40-E3/54
Diode,1N4007E-E3/54
